id,qid1,qid2,question1,question2,is_duplicate
237464,467782,467783,What does it feel like to be a millionaire by investing?,What does it feel like to become a self made millionaire as a woman?,0
219261,432270,432271,Which is the best five hair transplant clinics in India?,"Which is the best hair transplant clinic in Bhubaneswar, India?",0
45501,90606,90607,What are Zomato's fundraising strategies?,What was Zomato's strategy for the first 12 months?,0
77255,153496,153497,Who would win a fight Bruce Lee or Muhammad Ali?,Would Muhammad Ali beat Bruce Lee?,1
333792,654488,654489,What stocks are the best to invest in right now?,What are good stocks to invest in right now?,1
262838,517170,517171,Shall we edit the photo before sending it to any photography contest?,"After the 2016 US election, can we assert that Peter Thiel is the greatest investor of all time? Additioanally, did he have any unique insight?",0
332101,651219,651220,What are some good undergraduate courses for commerce students abroad?,Which course is best for commerce students to pursue if they want to go abroad?,0
274433,539644,539645,How do I fix my skin?,How can I fix my skin?,0
261905,515363,515364,How many days a period can be late?,What are the common first signs of pregnancy? How can I tell if I'm pregnant? What are the symptoms?,0
259890,511465,511466,How do you check your Axis Bank balance online?,How can you check your Axis Bank account balance online?,1
139789,276716,276717,"Aside from the money, do you think that it is a good idea for there to be a sequel to Star Wars Episode 6?",What is your review of Star Wars: The Force Awakens (2015 movie)?,0
61720,122744,122745,"What hotel in Shillong Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Palampur Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?",0
7752,15484,15485,Can a female dog get pregnant by two different males?,Should I get my female cat spayed or my male cat neutered?,0
335703,658186,658187,What documents does an immigration lawyer provide for an LCA - E3 Filing?,What can happen legally if you don't provide all the documents for an SSI redetermination?,0
28688,57199,57200,What is the package for freshers in Secureye?,What is the package offered by ABCO Advisary Services to a fresher?,0
24299,48475,48476,What are good tips to take good pics in a smartphone?,What tricks do you know about mobiles and computers which most people are usually unaware of?,0
309473,607523,607524,Is cashless society possible in India at this stage?,Is a cashless society possible?,0
152159,300985,300986,How can one track a mobile number location?,How do I track someone from his mobile number?,1
357929,700930,700931,Without net neutrality would ISPs block Google Now and Siri?,Would Amazon be blocked by ISPs?,0
12844,25642,25643,Why is Sehwag so damn irritating and why do people & media glorify his lameness?,"Do people become more more cynical and irritable with age? If so, why?",0
193706,382369,382370,How can one keep his/her dignity?,How do you keep your dignity?,1
356230,697653,697654,How do I get over my anxiety and start with work?,How do you deal with your anxiety at work?,1
350582,686812,686813,Why did Apple remove the backlit logo in newest MacBooks?,Why did Apple ditch the glowing Apple logo in the new MacBook?,1
378442,740224,740225,What is solution engineering?,What is it like to be a Solutions Engineer?,0
311964,612346,612347,How will the scrapping of Rs 500 and Rs 1000 notes help in reducing black money and corruption?,How will banning the present 500/1000 notes fight black money if it can be exchanged?,1
378000,739371,739372,Is there anything permanent in this world?,What is permanent in this world?,0
285798,561678,561679,What the best way to make your short hair grow faster?,How can you grow your hair faster in a short period of time?,1
31624,63036,63037,"How much money can you make from youtube if you have 900,000 views and 1,800 subscribers?","How much money do I need to make a year to buy a 900,000 house?",0
263317,518109,518110,How Many ISI agents Are located in India?,How can I make my essays more creative?,0
209447,413146,413147,What do I REALLY need to do to get a bigger butt?,How can I get a bigger butt fast?,0
101986,202351,202352,Has the US Constitution been used as a blueprint for countries founded after the US?,How has technology revolutionized medical education?,0
131585,260626,260627,"How is Bolivia's geographical location unique in the region, and how does its geography compare to Chile's?","How is Bolivia's geographical location unique in the region, and how does its geography compare to that of other countries?",0
190625,376344,376345,Swathi murder case- who is the real murderer?,What is a good annual salary for a single woman?,0
218426,430650,430651,"Why doesn't Google X use Satellites instead of Balloons for its broadband supply project ""Project Loon""?",Why did Google use weather balloon instead of satellites?,1
248755,489805,489806,How is my friend earning millions from home just by using Uber app?,How is everyone earning millions from home by just using Uber app?,1
195494,385863,385864,How much time does Wipro takes to send a DOJ after the background verification is done?,Does wipro reject anybody after sending them letter of intent?,0
288759,567416,567417,How do I get rid of stringy clots during my period?,What causes stringy clots during my period?,0
37412,74543,74544,What is Donald Trump's writing style?,What is Donald Trump's management style?,0
393407,768860,768861,How can I improve my programming skills in web development?,How can I improve my programming skills?,0
161840,319971,319972,Who was William Lloyd Garrison? What was his significance?,What is the significance of William Lloyd Garrison?,1
79020,156977,156978,What is the average salary of a cloud support associate in Amazon AWS?,What is the average salary for Amazon Cloud Support Engineer II (Level 5) in Amazon Cape Town?,0
190518,376137,376138,Why is Indian Rupee not strengthening after demonetisation?,Why did not Rupee get strong against the Dollar even we have demonetisation?,1
217701,84882,429237,What are some of the best economics books?,What are some of the best economic books?,1
358950,702908,702909,How do I integrate x^3/(x+1) ^2?,How do I integrate f(x) =x^2-1/x^2+1?,0
277809,546203,396447,How do I deal with noisy neighbors?,What's the best way to deal with a noisy neighbor?,1
300894,590941,590942,Is it possible to use a PS4 controller for a PS3?,Can I upgrade my PS3 to PS4 and play PS4 games by any means?,0
41170,82004,82005,How are cats able to get AIDS?,Can cats get AIDS?,1
63814,126900,126901,Where can I find free hosting for ASP.NET?,What is the cheapest and best asp.net MVC hosting?,0
376258,736054,736055,How can I improve my English skills by watching movies?,How can I improve my English speaking skills by watching Hollywood movies?,0
339598,665712,665713,Is pass with grace in 4 years in b.tech worse or passing those papers in next year after finishing degree?,How do you livestream Instagram hashtags?,0
330810,648719,648720,What are the best books for a beginner ruby coder?,What are the best books to learn Ruby for beginners?,1
248183,488697,488698,"What hotel in Etah would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Bulandshahr would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?",0
361286,707373,707374,What is the best way to take control of your will?,How can I take control on my soldiers?,0
156967,310412,310413,What is the average salary in Dubai for internal audit?,What is the average salary for internal audit in Dubai?,1
19096,38104,38105,Do stars and zodiac signs decide our future?,Do stars (zodiac signs) influence our lives?,0
218263,430333,430334,Will my sex drive and inability to climax level off if I stay on Prozac longer than the ten days I'm on it so far?,Will my sex drive return if I've only been on Prozac for ten days?,1
40887,81443,81444,Where does Mac Outlook 2011 store its data files?,How do I open mac outlook email files?,0
64077,127421,127422,Are North African Arabs ethnically African?,"Are Tunisians Arabs, Africans, or North African Arabs?",0
169372,334707,334708,What are some interesting physics topics for project?,What are the best topics for a physics project?,1
285854,561786,561787,Why are saltwater taffy imported in Japan?,Why is Saltwater Taffy candy imported in Portugal?,1
334992,656810,10881,Is biological aging a disease?,What are the biological causes of aging?,1
279784,550031,550032,How do we know the authenticity of any information provided by the media?,"How do you tell if something labeled ""Moncler"" is real or not?",0
125045,247752,247753,What is the silliest thing you ever did with your partner?,What is the silliest thing you have ever done in Facebook?,0
104249,206788,206789,"Can any fair-minded person, honestly dispute that Muslim refugees in Europe are biting the very hand that feeds them?",What is the best podcast app for Android that can import feeds from feedly?,0
262587,516682,516683,Do drinks with green tea extract boost metabolism?,Does green tea boost your metabolism?,1
265758,522844,522845,Freelancers: What have you learnt in your work that others might find surprising?,Work from home freelancers: What have you learnt in your work that others might find surprising?,1
23276,46439,46440,How can I become Prime Minister of India?,How can I become the Prime Minister of India?,1
71812,142719,142720,"How do I print ""hello world"" in C without using main in my program?",Why do we use main() in C or C++ language?,0
65404,130048,130049,Is dxtorrent.com the new link to Kickass Torrents or is it fake?,"Is The Conjuring 2 available at torrent? If yes, what's its quality?",0
207328,409007,409008,Best Way to Promote Services Cheap?,How do I promote IT services?,0
163610,323447,323448,Can time be negative? or Concept of negative time exists ?,How do black holes impact time?,0
61595,122499,122500,How do I learn basic drawing skills?,How do you learn to draw basic pictures?,1
18195,36305,36306,"What is the difference between irony, contradiction and paradox?",What is the difference between a paradox and a logical contradiction?,0
194212,383355,383356,Are there any hidden costs in the zero brokerage office search service provided by LeaseKey (leasekey.com) in gurgaon/NCR?,Are there any hidden costs in the zero brokerage warehouse search service provided by LeaseKey (leasekey.com) in Gurgaon/NCR?,0
193228,381437,381438,How do I get mango varieties like langda or himsagar which are available in West Bengal in Bangalore?,Is it easy to get a BDS course in west Bengal medical colleges?,0
392831,767758,767759,"What are the differences between login, log in and sign in?","What difference between ""Login"" and ""log in""?",0
403913,788958,788959,Daniel Ek: When is Spotify coming to india?,When will Spotify launch in India?,1
286313,562672,562673,What is the link between eating disorders and genetics?,Would you date a girl with an eating disorder?,0
14193,28333,28334,"What do I do now, and after, a BTech?",In world war 2 what was the lowest ranking military member to take charge of his unit after his command was wiped out?,0
287600,565157,565158,Are niche specializations (like MIS or business analytics) good degrees to invest on if your aim is to do an MBA eventually?,"What are the job prospects after IMC from Medill School, Northwestern University?",0
307017,481855,602766,What narrative films are based on non-narrative nonfiction books?,What are forced narratives in Netflix?,0
272237,535384,535385,Why do many bands release limited edition album only in Japan?,Who invests in an album release?,0
233436,459916,459917,How can I restore my factory settings to my Dell 3521 laptop?,How do you factory reset a Dell computer?,1
223540,440594,440595,"Why do people consider you one race, when you might be many? Dna test ancestry?","Why is it that when you express alternative ideas that might lead to a better existence for all, many immediately scream ""utopia"" without even considering the merits?",0
91414,181500,181501,What is hysteresis torque?,Will colleges value me taking 4 AP's freshman year?,0
89598,177900,177901,"Which is correct, 'healthier' or 'more healthy'?",Which one is correct? You learn easier or You learn more easily?,0
70392,139910,139911,How do I make a quiz? How can I programme in Visual Basic?,Is it worth learn Visual Basic in 2016?,0
198967,392667,392668,How can I get an Internship at ONGC?,How can I get an internship in ongc?,1
78743,156430,156431,"Which is the best career for women, except teaching?",What are the best job paying career for women?,1
21480,42854,42855,Is bitcoin a good investment?,Should I invest in Bitcoin?,0
55975,111365,111366,What is the best way to shoot video designed for the Oculus Rift?,Where in Seoul can you try Oculus Rift?,0
198153,391079,391080,What questions are asked in the UPSC interview?,What are the questions asked in UPSC ‘CMS’ interview?,0
189953,375029,375030,Is there bisexuality/homosexuality in animals?,Why are there no gay animals?,1
295090,515026,23485,What is the best way to invest $500k?,"What's the best way to invest $500,000?",1
63605,126489,126490,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Rat Islands earthquake in 1965?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Sanriku earthquake in 1896?",1
93991,186592,186593,Would you say I am bisexual?,Am I bisexual?,0
62853,124998,124999,What is the most brutally honest thing a child has ever said to you?,What was the rudest yet honest comment a child has said to you?,1
62600,124496,124497,How should I learn Computer Science?,How does one self-learn computer science?,0
52002,103489,103490,How is magnetism related to electricity?,How is electricity related to magnetism?,1
132833,263076,263077,Why do Scottish men wear kilts?,Why do Scots wear kilts?,1
60644,120623,120624,How do you make money online?,How could I make money online?,1
371178,726333,726334,What is the best way to find my love?,How can I find my love?,1
95984,190534,190535,What are some of your favorite childhood memories?,What are your fondest childhood memory?,1
318244,624433,624434,Which is a good inpatient drug and alcohol rehab center in Clinton County IA?,Which is a good inpatient drug and alcohol rehab center in Union County IA?,0
5085,10164,10165,Can I reset my Gmail password without having to change my username?,How do I reset my Gmail password when I don't remember my recovery information?,0
16128,32190,32191,Is it possible to test a transistor in your laboratory?,Do transistors amplify DC signal?,0
152256,301177,301178,Which dog breed should the average person NOT own?,What is the breed of dog owned by Jim Carrey in movie The Mask?,0
361264,707330,707331,How can I download full episodes of Mahabharat of Star Plus?,Where can I download all episodes of Gotham?,0
324434,636414,636415,What do you think about Fantastic Beasts?,Did you like fantastic beasts?,1
125511,248673,248674,"If you had to choose, would you rather move to a developed country to improve the life of your child, or take care of your mentally ill parent?","For those with a diagnosed mental illness, if you could erase the illness and the experiences you've had with it from your life would you choose to do so?",0
57122,113647,113648,What web pages like Sharetribe exist?,Is Sharetribe real?,0
395630,773111,773112,Is everyone a bit narcissistic?,Is everyone a narcissist?,1
1576,3153,3154,Can we eat meat with dairy products?,Is eating meat and dairy okay?,1
246168,484780,484781,"If someone's not in my WhatsApp contact and he used to check my profile every time, will I know about it?",What is the trick to know my WhatsApp profile visitors?,1
217599,429036,429037,What is the best franchise to open in india?,Which is the best franchise business in tier 3 cities in India?,0
46731,93044,93045,Can women be engineers?,Is engineering (of any kind) a preferred or suitable career choice for young women?,0
341169,668749,668750,I find myself better off alone. Not able to develop a good friend.But still there is some jealousy while I see people enjoying. Is that normal?,"Heartbreak? Heartbreak? She's my girlfriend for two months, I chose her over my girlfriend for 2 years. I like her so much to the point that I can't let her go even if she wants to end our relationship because of the other people around us most especially her family. I do the things for her that I'm not used to for a girl and I am willing to sacrifice everything just to have a little time with her. A little and limited time that I'm asking from her but she don't wanna give it to me. She's scared that someone might see us, that she's still having an affair with me. I love her and I want to be with her at least once a week even if just for a limited time. I'm not sure if I'm doing the right thing, all of my friends told me to stop it and just let it go 2 months is just 2 months not a deep relationship. But they don't feel what I feel, in this span of time I learned a lot, I learned how to love, to be loved, to sacrifice a good life, and to sacrifice a better clear future. My mind tells me to stop, but my heart tells me to hold, don't give up, stay with her and give her the unconditional love. Should I follow my mind or follow my heart?",0
109887,217905,217906,"How Rummy circle, got license for online gambling, where offline gamblings strictly abandanded in India.?",I need a referral from Google…how can I get it…I dont have friends and family working in Google?,0
391668,765537,765538,What kind of technology I have to know to be a backend developer?,What technologies should I know to become a backend web developer?,1
294374,578287,578288,What was your worst summer job?,What are the worst summer jobs for a teenager to have?,0
73132,145334,145335,How can I know wether I'm attractive or unattractive?,How do I know if I am unattractive?,1
395155,772201,772202,How can I be more confident while flirting?,What do you call a girl who flirts with more than one guy?,0
268417,527990,527991,What is hidden in the crypts at Winterfell?,What is in the crypts of Winterfell?,1
341814,669985,669986,How should I ask a girl that I want to fuck her?,What are some questions that I can ask to a girl if I want to get to know her?,0
10830,21625,21626,What is the difference between first copy and duplicate watches?,What is the difference between 1BDR and 2BDR in GSHOK watches?,0
77295,153574,153575,Why is Norton Antivirus considered a malware?,How does Norton AntiVirus remove malware?,0
62689,124672,124673,How can I memorize quickly?,What is the fastest way to memorize something?,1
198645,392039,392040,"Why cant I join my friends lobby, and why cant my friends join my lobby in black ops 3?",What is the gun on Black Ops 3?,0
402088,785461,127785,What is NFC good for?,What is NFC?,0
237626,468102,468103,What are some interesting facts about highways in India?,What are some interesting facts about nuclear tests by India at Pokhran?,0
19667,39245,39246,"Why do bike petrol engines makes a ""tik-tik"" sound (for a few minutes) after switching off the engine, especially after a long run?",Why is it recommended to use kill switch to shut the bike engine off instead of using key?,0
14268,28483,28484,What are the benefits of no drinking coffee?,What are the benefits of never drinking coffee?,1
601,1203,1204,What should I do for Web design?,What Is Web Design?,0
68443,136058,136059,How do I see a saved wifi password?,How do you see a saved wifi password?,1
324384,636314,636315,How do you spell croneck?,How do you spell 2745709?,0
26852,53547,53548,How can you popularize your blog anonymously?,How popular are blogs?,0
68354,135880,135881,What are your personal top ten music albums of all time?,What are the Top 10 music albums of all time on your list?,1
35754,71241,71242,What is an interface icon?,What is interface icon?,1
167358,330768,330769,What are the strongest majors in terms of job prospects and what are the weakest majors at Claremont Colleges?,What are the strongest majors in terms of job prospects and what are the weakest majors at Smith College?,0
388462,759410,759411,What are the best movie remakes?,What is the most interesting movie?,0
202342,399254,399255,Which actress has biggest rack in Bollywood?,Who is this Bollywood actress?,0
202088,398769,398770,Will Indian currency be little stronger globally after bans on 500 and 1000 rupees notes?,Will the value of rupee increase after the 500 and 1000 rupees notes are banned?,1
305050,598978,598979,What are some examples of forced convection?,What is forced convection? What are examples of this?,1
237974,468782,19579,Can TQWL tickets confirmd easily?,What are the best online ticket markets?,0
17213,34353,34354,Where does the derogatory term for Asians 'Zipperhead' come from?,"What is the origin of the term ""bush league""?",0
119306,236451,236452,How do you write a longer description for your questions on Quora?,"How can I add a longer, more detailed description of my question on Quora?",1
338035,662687,662688,"What is the difference between two-stroke, four-stroke and six-stroke engines?",What is the difference between a two-stroke and a six-stroke engine?,0
95542,189656,189657,How do I write a simple C program to evaluate expressions?,How do I write a C program to evaluate postfix expressions using arrays/stacks?,1
18290,36494,36495,Is 304 a good score in gre?,Is A score of 319 in GRE a good score?,1
309379,607340,607341,Why do I sneeze every morning?,Why do a lot of people sneeze a lot after waking up in the morning?,1
287400,564773,564774,What are some interesting facts about Pennsylvania?,What are some interesting facts about Pennsylvania that many Pennsylvania locals don't even know about?,0
77559,154097,154098,How would you remove a snake that entered the stomach through the anus and is now living in the stomach?,How long does it typically take for food to pass through the stomach?,0
1545,3091,3092,Which is better car Honda Jazz or Volkswagen polo?,Are Hondas or Accuras better cars? Why?,0
378064,739494,739495,How does it feel to have $ 100 million?,What annual interest can I earn on $100 million?,0
189395,373935,373936,"How does Elevate compare with Lumosity as a ""brain training"" app?",Do games like lumosity and peak and elevate actually train your brain?,0
53235,105935,105936,What's your attitude towards life?,What should be your attitude towards life?,1
48931,97407,97408,I'm an 18 year old girl but I only like older men around 30-40 I just don't find guys my age appealing as I feel less safe and protected what do I do?,I am 18 years old but I still have no boyfriend (or a girlfriend). Is it mentally healthy?,0
322478,632609,632610,What are some of the mobile apps that you can't live without?,Which one mobile app you can't live without?,1
190794,376675,376676,What would happen to this country if Trump were elected president?,What will really happen if Trump becomes President?,1
380055,743320,743321,Free radical fragmentation reactions are unlikely candidates as termination for chain reactions. Why?,Free radical fragmentation reactions are unlikely candidates as termination for chain reaction. Why?,1
203395,401316,401317,Why do I have red itchy balls all over my skin?,"Was Tim Kane your first choice? If so, what was the reason behind that decision?",0
276590,543828,543829,How does mobile app generate revenue?,Which mobile app generates the most revenue?,0
379708,40954,742654,Will Google buy Quora? Why or why not?,Why doesn't Google buy Quora?,1
44261,88142,88143,What are the best ways to apply for an internship in IT?,How do I apply for internship?,0
214321,422641,422642,How was Nazi Germany able to technologically surpass the Allies in so many ways?,What technologies have come from Nazi Germany that have actually benefitted society?,0
396657,775078,775079,"Why is it impossible to divide by 0, but not impossible to divide zero by something?",Why is it impossible to divide by 0?,1
55834,111085,111086,Can you open a Amazon FBA account with just a PO box if you don't want to ship from your home address?,Does Amazon ship internationally?,0
111692,221467,221468,Where can I get Kaththi English subtitles?,Where do I get Tamil subtitles or an audio file for an English movie?,0
16589,33108,33109,What is the salary of software engineer in India per month?,How much is a software engineer paid per month in India?,1
284275,558727,558728,What is the total number of peer-reviewed articles published by Science (journal)?,How long (on average) does it take to write a peer reviewed journal article?,0
271310,533594,533595,What does finalize method actually do?,What does finalize method actually does?,1
367427,719126,719127,I’m planning for a career as FD/RD agent. What is the commission percentage do FD/RD agents receive?,With MBA in operations as a major What kind of job roles and prominent recruiting companies are seen that hire From top B-schools?,0
42131,83912,83913,Why do I still miss and feel something for someone who betrayed me and lied to me?,How can I believe in someone who lied to me?,0
74674,148390,148391,What are the best HD game wallpapers?,What are some of the best Xmen wallpaper?,0
367731,719712,719713,Why did you stop or reduce your smoking of marijuana?,What are the laws with regard to marijuana in India?,0
205048,404550,404551,What's the slogan after the speech of Rasheed Naaz in the movie Baby?,What is the slogan for Hanes?,0
18100,36120,36121,How can I stop feeling so inferior to others?,How do you stop the feeling of inferiority?,1
76158,151326,151327,"What are the different types of dirt bike racing, and how do they differ from each other?",What are the different types of dirt bikes and how do they differ from each other?,1
340137,666755,666756,What is the relationship between sociology and law?,What's the relationship between law and sociology?,1
276918,544464,544465,What should I do if Donald Trump wins the election?,What will you do now that Donald Trump is the President?,0
20893,41681,41682,Which is the best app for compressing mp3?,What is the best MP3 downloader app on Play Store?,0
300911,590975,590976,What can a 10-year-old who is pregnant do?,Can I be pregnant even after having a period?,0
401894,785082,785083,How to recover Facebook account when it is temporarily blocked?,Can I recover my Facebook account after I deactivate it once?,0
255545,502999,503000,What are fictitious assets?,What is an asset recovery?,0
366652,717651,717652,How can I improve my English speaking .?,How can I improve my English in a very short time?,1
368792,721747,721748,Why do farts stink so bad?,Why do farts sometimes stink and sometimes not?,0
297418,584191,584192,How do googlers estimate how long they will finish their tasks?,How do people pay and outsource their daily tasks on social medias such as primarily Instagram?,0
172797,341416,341417,What is the real reason for World War One?,What was the reason behind world war one and world war two ?,1
240343,473409,473410,Why tulsi leaves should not be chewed?,Why should tulsi leaves be not chewed?,1
6768,13518,13519,What are some neurogaming startups?,What are startups?,0
147010,290878,290879,What famous actors are diagnosed as psychopaths?,Were famous psychopaths evil as children?,0
204330,403145,403146,What is the best way to start a programming career?,How do I begin a programming career?,1
384810,752433,713146,Is plastic surgery okay?,"Why is cosmetic surgery called ""plastic"" surgery?",0
395950,649718,773718,Is a student loan debt amnesty or forgiveness program feasible?,What is student loan forgiveness?,0
69287,137726,137727,What is the atmospheric electricity?,What is atmosphere?,0
372414,728700,728701,Why is the Earth's surface so flat?,Why is the earth so flat?,1
281045,552476,552477,Is Paytm the biggest gainer of demonetisation?,How much is Paytm going to benefit from recent Indian Government decision to demonetise Rs 500 and Rs 1000 currency notes?,0
38564,76829,76830,Is reality equivalent to perception?,What is meant by perception of reality?,0
275574,541852,541853,What steps must be taken by indian government to make india litrate and what study pattern must be followed?,What steps must Indians take to make India corruption free?,1
269002,529123,529124,How often should a couple have sex?,How often should a person have sex?,0
265813,522952,522953,Should you apply honey on your face overnight?,How often should I apply egg white mask onto my face?,0
131405,260270,260271,How can I prepare SAT for ntse stage 1 (haryana)?,How can I prepare SAT for ntse stage 1(haryana)?,1
382703,748404,748405,How do know when you're in love?,How do you know if you are in love? How do you know its not just chemicals in your brain trying to trick you to reproduce?,1
171314,338511,338512,Does the United States still have active underground missile silos armed with live ICBMs?,Why wouldn't you like to live in the United States of America?,0
211200,416574,416575,Will Trump lead to the downfall of the USA?,Could the rapid rise of Neo progressivism lead to the downfall of American freedom?,0
379709,742655,742656,I’m a citizen who is often mistaken as a immigrant due to a speech impairment; how do I protect myself against Trump's proposed immigration policies?,"How long/ loud would I have to scream at a mug of water to make it boil, assuming the mug won't crack?",0
249691,491615,491616,Is a bio-tech graduation applicable for entry in the defense?,Chief executive as project sensor?,0
50329,100180,100181,What is the effect of fed rate hike in India?,What will be the impact on India if the Fed rate hikes?,1
66393,131999,132000,What is a suitable inpatient drug and alcohol rehab center in Carroll County AR?,Which is a suitable inpatient drug and alcohol rehab center in Montgomery County AR?,0
309688,607947,607948,How do I get a girl just to have sex in Delhi?,Where do I get girls to talk to in Delhi?,0
328036,643365,643366,What are parallels between chess and Dota 2?,What are parallels between Dota 2 and tennis?,0
